Attrition,Department,Gender,Age,MonthlyIncome,JobRole,YearsAtCompany
Yes,Sales,Female,41,5993,Sales Executive,6
No,Research & Development,Male,49,5130,Research Scientist,10
Yes,Research & Development,Male,37,2090,Laboratory Technician,0
No,Research & Development,Female,33,2909,Research Scientist,8
No,Research & Development,Male,27,3468,Laboratory Technician,2
No,Research & Development,Male,32,3068,Laboratory Technician,7
No,Research & Development,Female,59,2670,Laboratory Technician,1
No,Research & Development,Male,30,2693,Laboratory Technician,1
No,Research & Development,Male,38,9526,Manufacturing Director,9
No,Research & Development,Male,36,5237,Healthcare Representative,7
No,Research & Development,Male,35,2426,Laboratory Technician,5
No,Research & Development,Female,29,4193,Laboratory Technician,9
No,Research & Development,Male,31,2911,Research Scientist,5
No,Research & Development,Male,34,2661,Laboratory Technician,2
Yes,Research & Development,Male,28,2028,Laboratory Technician,4
No,Research & Development,Female,29,9980,Manufacturing Director,10
No,Research & Development,Male,32,3298,Research Scientist,6
No,Research & Development,Male,22,2935,Laboratory Technician,1
No,Sales,Female,53,15427,Manager,25
No,Research & Development,Male,38,3944,Research Scientist,3
No,Research & Development,Female,24,4011,Manufacturing Director,4
Yes,Sales,Male,36,3407,Sales Representative,5
No,Research & Development,Female,34,11994,Research Director,12
No,Research & Development,Male,21,1232,Research Scientist,0
Yes,Research & Development,Male,34,2960,Research Scientist,4
No,Research & Development,Female,53,19094,Manager,14
Yes,Research & Development,Female,32,3919,Research Scientist,10
No,Sales,Male,42,6825,Sales Executive,9
No,Research & Development,Female,44,10248,Healthcare Representative,22
No,Sales,Female,46,18947,Manager,2
No,Research & Development,Male,33,2496,Laboratory Technician,1
No,Research & Development,Male,44,6465,Healthcare Representative,4
No,Research & Development,Male,30,2206,Laboratory Technician,10
Yes,Sales,Male,39,2086,Sales Representative,1
Yes,Research & Development,Male,24,2293,Research Scientist,2
No,Research & Development,Female,43,2645,Research Scientist,5
Yes,Sales,Male,50,2683,Sales Representative,3
No,Sales,Female,35,2014,Sales Representative,2
No,Research & Development,Female,36,3419,Research Scientist,1
No,Sales,Female,33,5376,Sales Executive,5
No,Research & Development,Male,35,1951,Laboratory Technician,1
No,Research & Development,Female,27,2341,Laboratory Technician,1
Yes,Research & Development,Male,26,2293,Laboratory Technician,1
No,Sales,Male,27,8726,Sales Executive,9
No,Research & Development,Female,30,4011,Laboratory Technician,12
Yes,Research & Development,Female,41,19545,Research Director,22
No,Sales,Male,34,4568,Sales Executive,9
No,Research & Development,Male,37,3022,Research Scientist,1
No,Sales,Male,46,5772,Sales Executive,9
No,Research & Development,Male,35,2269,Laboratory Technician,1
Yes,Research & Development,Male,48,5381,Laboratory Technician,1
Yes,Research & Development,Male,28,3441,Laboratory Technician,2
No,Sales,Female,44,5454,Sales Executive,4
No,Research & Development,Male,35,9884,Healthcare Representative,4
No,Sales,Female,26,4157,Sales Executive,2
No,Research & Development,Female,33,13458,Research Director,15
No,Sales,Male,35,9069,Sales Executive,9
No,Research & Development,Female,35,4014,Laboratory Technician,2
No,Research & Development,Male,31,5915,Laboratory Technician,7
No,Research & Development,Male,37,5993,Manufacturing Director,7
No,Research & Development,Male,32,6162,Manufacturing Director,9
